"Date","Holiday.Name","Day"
1953-04-06,"Easter Monday","Monday"
1953-04-25,"Anzac Day","Saturday"
1953-06-01,"Queens Birthday","Monday"
1953-10-26,"Labour Day","Monday"
1953-12-25,"Christmas Day","Friday"
1953-12-26,"Boxing Day","Saturday"
1953-12-28,"Boxing Day (observed)","Monday"
1954-01-01,"New Years Day","Friday"
1954-01-02,"Day after New Years Day","Saturday"
1954-01-04,"Day after New Years Day (observed)","Monday"
1954-04-16,"Good Friday","Friday"
1954-04-19,"Easter Monday","Monday"
1954-04-25,"Anzac Day","Sunday"
1954-06-07,"Queens Birthday","Monday"
1954-10-25,"Labour Day","Monday"
1954-12-25,"Christmas Day","Saturday"
1954-12-26,"Boxing Day","Sunday"
1954-12-27,"Christmas Day (observed)","Monday"
1954-12-28,"Boxing Day (observed)","Tuesday"
1955-01-01,"New Years Day","Saturday"
1955-01-02,"Day after New Years Day","Sunday"
1955-01-03,"New Years Day (observed)","Monday"
1955-01-04,"Day after New Years Day (observed)","Tuesday"
1955-04-08,"Good Friday","Friday"
1955-04-11,"Easter Monday","Monday"
1955-04-25,"Anzac Day","Monday"
1955-06-06,"Queens Birthday","Monday"
1955-10-24,"Labour Day","Monday"
1955-12-25,"Christmas Day","Sunday"
1955-12-26,"Boxing Day","Monday"
1955-12-27,"Christmas Day (observed)","Tuesday"
1956-01-01,"New Years Day","Sunday"
1956-01-02,"Day after New Years Day","Monday"
1956-01-03,"New Years Day (observed)","Tuesday"
1956-03-30,"Good Friday","Friday"
1956-04-02,"Easter Monday","Monday"
1956-04-25,"Anzac Day","Wednesday"
1956-06-04,"Queens Birthday","Monday"
1956-10-22,"Labour Day","Monday"
1956-12-25,"Christmas Day","Tuesday"
1956-12-26,"Boxing Day","Wednesday"
1957-01-01,"New Years Day","Tuesday"
1957-01-02,"Day after New Years Day","Wednesday"
1957-04-19,"Good Friday","Friday"
1957-04-22,"Easter Monday","Monday"
1957-04-25,"Anzac Day","Thursday"
1957-06-03,"Queens Birthday","Monday"
1957-10-28,"Labour Day","Monday"
1957-12-25,"Christmas Day","Wednesday"
1957-12-26,"Boxing Day","Thursday"
1958-01-01,"New Years Day","Wednesday"
1958-01-02,"Day after New Years Day","Thursday"
1958-04-04,"Good Friday","Friday"
1958-04-07,"Easter Monday","Monday"
1958-04-25,"Anzac Day","Friday"
1958-06-02,"Queens Birthday","Monday"
1958-10-27,"Labour Day","Monday"
1958-12-25,"Christmas Day","Thursday"
1958-12-26,"Boxing Day","Friday"
1959-01-01,"New Years Day","Thursday"
1959-01-02,"Day after New Years Day","Friday"
1959-03-27,"Good Friday","Friday"
1959-03-30,"Easter Monday","Monday"
1959-04-25,"Anzac Day","Saturday"
1959-06-01,"Queens Birthday","Monday"
1959-10-26,"Labour Day","Monday"
1959-12-25,"Christmas Day","Friday"
1959-12-26,"Boxing Day","Saturday"
1959-12-28,"Boxing Day (observed)","Monday"
1960-01-01,"New Years Day","Friday"
1960-01-02,"Day after New Years Day","Saturday"
1960-01-04,"Day after New Years Day (observed)","Monday"
1960-04-15,"Good Friday","Friday"
1960-04-18,"Easter Monday","Monday"
1960-04-25,"Anzac Day","Monday"
1960-06-06,"Queens Birthday","Monday"
1960-10-24,"Labour Day","Monday"
1960-12-25,"Christmas Day","Sunday"
1960-12-26,"Boxing Day","Monday"
1960-12-27,"Christmas Day (observed)","Tuesday"
1961-01-01,"New Years Day","Sunday"
1961-01-02,"Day after New Years Day","Monday"
1961-01-03,"New Years Day (observed)","Tuesday"
1961-03-31,"Good Friday","Friday"
1961-04-03,"Easter Monday","Monday"
1961-04-25,"Anzac Day","Tuesday"
1961-06-05,"Queens Birthday","Monday"
1961-10-23,"Labour Day","Monday"
1961-12-25,"Christmas Day","Monday"
1961-12-26,"Boxing Day","Tuesday"
1962-01-01,"New Years Day","Monday"
1962-01-02,"Day after New Years Day","Tuesday"
1962-04-20,"Good Friday","Friday"
